imo,name,type,porto,berthing_time,lat,lon,waiting_time_hours,num_positions
9354260,PM DUKE,Tanker,Paranaguá,2026-01-27T01:11:00Z,-25.499968,-48.537926,693.8666666666667,605
9394753,MANOUSOS P,Cargo,Paranaguá,2026-01-25T20:41:00Z,-25.499651,-48.544712,649.5413888888888,390
9669938,STI DUCHESSA,Tanker,Paranaguá,2026-01-26T23:11:00Z,-25.491558,-48.446831,656.95,760
9847396,BBG BEIHAI,Cargo,Paranaguá,2026-01-28T04:42:00Z,-25.501545,-48.427006,,930
9515228,MAITACA ARROW,Cargo,Rio Grande,2026-01-26T12:45:00Z,-32.039833,-52.075302,687.5411111111111,1396
9942158,LOWLANDS FREEDOM,Cargo,Rio Grande,2026-01-15T23:13:00Z,-32.047672,-52.072193,363.78333333333336,1140
9942158,LOWLANDS FREEDOM,Cargo,Rio Grande,2026-01-25T10:11:00Z,-32.041782,-52.0746,590.75,1140
9229568,SERRA NEVADA,Tanker,Rio Grande,2025-12-30T17:49:00Z,-32.101566,-52.102501,43.5,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2025-12-31T03:41:00Z,-32.075901,-52.091667,53.36666666666667,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-01T11:41:12Z,-32.08555,-52.094116666666665,85.37,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-05T01:51:00Z,-32.029312,-52.047199,171.53333333333333,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-05T07:48:00Z,-32.051067,-52.071617,177.48333333333332,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-06T00:10:00Z,-32.075901,-52.091648,193.85,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-06T13:38:00Z,-32.0494,-52.072266,207.31666666666666,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-07T17:09:00Z,-32.104168,-52.102699,234.83333333333334,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-08T01:23:00Z,-32.05558,-52.052284,243.06666666666666,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-08T13:11:00Z,-32.075546,-52.091331,254.86666666666667,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-09T19:39:00Z,-32.075912,-52.091618,285.3333333333333,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-10T19:14:00Z,-32.047298,-52.072365,308.9166666666667,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-11T20:37:58Z,-32.049633,-52.072048,334.3161111111111,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-14T00:12:00Z,-32.052132,-52.050949,385.8833333333333,759
